YearOrder,MonthOrder,retailerid,shopOrderLinereference,npsType,npsScore,Weight,WeightPromotor,WeightDetractor,Orderdate,SellingParty,RetailerType,TransporterName,PromisedDeliveryDate,FulfilmentMoment,CodeTrackTrace,NietThuis,BijBuren,Afhaallocatie
2019,3,701151,1293397905,Detractor,0,2.8579513434590496,0.0,2.8579513434590496,2019-03-26 00:00:00 UTC,Plaza,BUSINESS,DHLFORYOU,2019-03-28,On time,3SBDC9060307545,1,0,0
2019,3,1438727,1294245223,Detractor,0,0.51339131654957126,0.0,0.51339131654957126,2019-03-29 00:00:00 UTC,Plaza,BUSINESS,,2019-04-01,Unknown,,,,
2019,1,613422,1273754681,Detractor,0,3.0473312597597317,0.0,3.0473312597597317,2019-01-10 00:00:00 UTC,Plaza,THIRD_PARTY,DHL Parcel,2019-01-11,On time,3SDST35161811,0,0,0
2019,3,1244374,1287302918,Detractor,0,1.0717179664865266,0.0,1.0717179664865266,2019-03-02 00:00:00 UTC,Plaza,BUSINESS,PostNL,2019-03-04,On time,3STNVG6916223,0,1,0
2019,1,916223,1277906700,Detractor,0,2.1144171717080154,0.0,2.1144171717080154,2019-01-25 00:00:00 UTC,Plaza,THIRD_PARTY,DPD Nederland,2019-01-29,On time,05118920809438,0,0,1
2019,2,782359,1280171552,Detractor,0,2.0798436302173529,0.0,2.0798436302173529,2019-02-02 00:00:00 UTC,Plaza,BUSINESS,PostNL Briefpost,2019-02-05,On time,,0,0,0
2019,1,1149400,1271648719,Detractor,0,1.8878071911369674,0.0,1.8878071911369674,2019-01-02 00:00:00 UTC,Plaza,THIRD_PARTY,PostNL Briefpost,2019-01-04,Late,,0,0,0
2019,1,461,1274555225,Detractor,0,3.6934904054660294,0.0,3.6934904054660294,2019-01-13 00:00:00 UTC,Plaza,BUSINESS,DHLFORYOU,2019-01-24,On time,3SBDC9031915368,0,0,0
2019,2,1411763,1279918385,Detractor,0,1.6293061953925698,0.0,1.6293061953925698,2019-02-01 00:00:00 UTC,Plaza,BUSINESS,PostNL,2019-02-13,Unknown,,,,
2019,1,1338860,1276578358,Detractor,0,3.0473312597597317,0.0,3.0473312597597317,2019-01-21 00:00:00 UTC,Plaza,BUSINESS,DPD Nederland,2019-01-23,On time,05118964552581,0,0,1
2019,2,488040,1282532727,Detractor,0,5.6405566425261826,0.0,5.6405566425261826,2019-02-11 00:00:00 UTC,Plaza,THIRD_PARTY,PostNL,2019-02-13,Unknown,3SYUMG1674979,0,0,0
2019,2,928819,1286328379,Detractor,0,0.40190986074884105,0.0,0.40190986074884105,2019-02-26 00:00:00 UTC,Plaza,THIRD_PARTY,PostNL Briefpost,2019-02-27,On time,,0,0,0
2019,3,745082,1293430991,Detractor,0,1.0717179664865266,0.0,1.0717179664865266,2019-03-26 00:00:00 UTC,Plaza,BUSINESS,PostNL Briefpost,2019-03-29,On time,,0,0,0
2019,2,1325255,1280161551,Detractor,0,1.6293061953925698,0.0,1.6293061953925698,2019-02-02 00:00:00 UTC,Plaza,BUSINESS,GLS,2019-02-05,On time,78440011152878,0,0,0
2019,1,1417281,1276885265,Detractor,0,1.8878071911369674,0.0,1.8878071911369674,2019-01-22 00:00:00 UTC,Plaza,BUSINESS,PostNL,2019-02-01,Unknown,,,,
2019,3,868606,1293558313,Detractor,0,1.0717179664865266,0.0,1.0717179664865266,2019-03-27 00:00:00 UTC,Plaza,BUSINESS,,2019-03-28,Unknown,,,,
